antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
milk,baking powder,0.13375,0.076,0.0258,0.19289719626168222,2.5381210034431874,0.015635,1.1448355720240853,0.6995760484132578
nutmeg,baking powder,0.0365,0.076,0.0065,0.1780821917808219,2.343186733958183,0.003726,1.1242,0.5949463095285618
baking powder,nutmeg,0.076,0.0365,0.0065,0.08552631578947369,2.3431867339581833,0.003726,1.0536115107913668,0.6203796203796204
pecans,baking powder,0.0322,0.076,0.00515,0.15993788819875776,2.104445897352076,0.0027028,1.0999186691312386,0.5422768485023585
baking powder,pecans,0.076,0.0322,0.00515,0.06776315789473684,2.104445897352076,0.0027028,1.0381482004234297,0.5679821796326651
baking powder,powdered sugar,0.076,0.0254,0.0052,0.06842105263157895,2.6937422295897226,0.0032696,1.046180790960452,0.6804861804861806
powdered sugar,baking powder,0.0254,0.076,0.0052,0.2047244094488189,2.693742229589722,0.0032696,1.1618613861386138,0.6451561982036023
baking powder,raisins,0.076,0.02635,0.0056,0.0736842105263158,2.796364725856387,0.0035974,1.0510994318181819,0.6952303648732221
raisins,baking powder,0.02635,0.076,0.0056,0.2125237191650854,2.7963647258563866,0.0035974,1.1733686746987952,0.6597780076442841
salt,baking powder,0.3884,0.076,0.05705,0.14688465499485065,1.932692828879614,0.027531599999999996,1.083089180624717,0.7890569068130088
baking powder,salt,0.076,0.3884,0.05705,0.7506578947368421,1.932692828879614,0.027531599999999996,2.4528548812664903,0.5222805240333723
shortening,baking powder,0.02085,0.076,0.0089,0.42685851318944845,5.6165593840716905,0.0073154,1.6121673640167364,0.8394577502729667
baking powder,shortening,0.076,0.02085,0.0089,0.11710526315789474,5.61655938407169,0.0073154,1.1090223546944857,0.8895617491123108
sugar,baking powder,0.24285,0.076,0.04605,0.18962322421247682,2.4950424238483793,0.0275934,1.1402103658536584,0.7913956438306603
baking powder,sugar,0.076,0.24285,0.04605,0.6059210526315789,2.4950424238483793,0.0275934,1.9213155258764605,0.6484904888813683
unsalted butter,baking powder,0.02465,0.076,0.00485,0.19675456389452334,2.5888758407174124,0.0029766000000000003,1.1503333333333334,0.6292427936257616
baking powder,unsalted butter,0.076,0.02465,0.00485,0.06381578947368421,2.5888758407174124,0.0029766000000000003,1.0418355586788475,0.6642120765832107
